Name,Address,City_State_ZIP,ZIP,Number_of_Sites,Url
Skyview Estates,"93 N. 3530E Road,","Kankakee, IL",60901,28,https://www.mhvillage.com/parks/103599
Kankakee Estates,"1995 South Schuyler Avenue,","Kankakee, IL",60901,168,https://www.mhvillage.com/parks/10704
Tri-Star Estates,"43 E 5000N Rd.,","Bourbonnais, IL",60914,850,https://www.mhvillage.com/parks/10695
Oak Creek Estates,"1343 N Arthur Burch Dr,","Bourbonnais, IL",60914,343,https://www.mhvillage.com/parks/10692
Dehm Court,"207 W Elm St,","Chatsworth, IL",60921,Not found,https://www.mhvillage.com/parks/107038
Chebanse MH Estates,"5194 S Route 45-52,","Chebanse, IL",60922,89,https://www.mhvillage.com/parks/10698
River Crest Mobile Home Park,"5800 River Road,","Chebanse, IL",60922,16,https://www.mhvillage.com/parks/10587
Iroquois Mobile Estates,"3118 North Us Highway 45 52,","Chebanse, IL",60922,51,https://www.mhvillage.com/parks/10586
Barberry Acres,"6478 S Route 45-52,","Chebanse, IL",60922,Not found,https://www.mhvillage.com/parks/10697
Carriage Lane Mobile Home Park,"1104 N Lott Blvd,","Gibson City, IL",60936,46,https://www.mhvillage.com/parks/10510
Hunts Mh Park,"601 Orange Street,","Hoopeston, IL",60942,Not found,https://www.mhvillage.com/parks/57858
R&S Rentals,"205 S Elm St,","Loda, IL",60948,Not found,https://www.mhvillage.com/parks/106982
Ludlow Mobile Home Park,"Poplar Street,","Ludlow, IL",60949,11,https://www.mhvillage.com/parks/10210
Oak Ridge,"1099 Oak Ridge Drive,","Manteno, IL",60950,426,https://www.mhvillage.com/parks/39079
Maple Crest Manor,"550 Birch Street,","Manteno, IL",60950,109,https://www.mhvillage.com/parks/10711
Manteno,"6024 East 9120 North Road,","Manteno, IL",60950,80,https://www.mhvillage.com/parks/10710
Maple Ridge Mobile Home Park,"1 Maple Valley,","Manteno, IL",60950,276,https://www.mhvillage.com/parks/57826
Maple Valley,"1 Silver Circle,","Manteno, IL",60950,201,https://www.mhvillage.com/parks/10713
Sunny Acres,"200 Franklin Drive,","Manteno, IL",60950,189,https://www.mhvillage.com/parks/10478
Bill's Mobile Court,"10557 North State Route 50,","Manteno, IL",60950,Not found,https://www.mhvillage.com/parks/10707
Harvest Estates,"10557 N Route 50,","Manteno, IL",60950,Not found,https://www.mhvillage.com/parks/106826
Combs Mobile Home Park,"434 W Pine St,","Paxton, IL",60957,Not found,https://www.mhvillage.com/parks/57755
